Name,Weight,Height,PPG (Points per game),RPG (Rebound per game),APG (Assists per game),PIE (Player Impact Estimate)
Jaylen Brown,223lb ,"6'6"" ",22.9,6,4.8,11.3
Stephen Curry,185lb,"6'2"" ",23.4,4.5,6.1,13.6
Kevin Durant,240lb ,"6'11"" ",27.3,6,4.2,14.8
James Harden,220lb ,"6'5"" ",21.5,5.8,8.6,14.2
Kyrie Irving,195lb,"6'2"" ",24.6,4.8,4.8,12.8
LeBron James,250lb ,"6'9"" ",24.3,7.7,9,17.2
Damian Lillard,195lb,"6'2"" ",25.8,4.7,7.5,14.7
Jayson Tatum,210lb,"6'8"" ",27,8.7,5.6,16.2
Anthony Davis,253lb ,"6'10"" ",25.7,12,3.4,18.5
Jalen Brunson,190lb ,"6'2"" ",26.1,2.8,7.5,13.9
Cade Cunningham,220lb ,"6'6""",25.4,6.3,9.4,14.8
Anthony Edwards,225lb ,"6'4"" ",27.5,5.8,4.5,13.8
Darius Garland,192lb ,"6'1"" ",21.6,2.5,6.7,12.9
Tyler Herro,195lb ,"6'5"" ",23.9,5.5,5.5,13.7
Jaren Jackson Jr.,242lb ,"6'10""",23,6,2.2,13.3
Evan Mobley,215lb,"6'11"" ",18.5,9.1,3,15.2
Jalen Williams,211lb,"6'5"" ",21,5.5,5.1,13.7
Shai Gilgeous-Alexander,195lb ,"6'6"" ",32.5,5.1,6.1,20.5
Nikola Jokić,284lb ,"6'11""",29.8,12.6,10.2,21.2
Donovan Mitchell,215lb ,"6'3"" ",23.9,4.4,4.8,13.9
Alperen Sengun,243lb ,"6'11""",18.8,10.5,4.9,15.8
Pascal Siakam,245lb ,"6'8""",20.7,7.3,3.4,13.6
Karl-Anthony Towns,248lb ,"7'0""",24.7,13.4,3.3,16.7
Victor Wembanyama,235lb ,"7'3""",24.3,11,3.7,16.8
Trae Young,164lb ,"6'1""",23.7,3.2,11.5,12.4
Giannis Antetokounmpo,243lb ,"6'11"" ",31.8,12.2,5.9,20.3
Stephon Castle,215lb,"6'6"" ",12.9,2.8,3.5,8
Dalton Knecht,215lb ,"6'6"" ",9.3,3,0.8,8.4
Jaylen Wells,205lb ,"6'8"" ",11.2,3.2,1.7,6.9
Keyonte George,185lb ,"6'4"" ",16.4,3.6,6,9.1
Zach Edey,305lb ,"7'4""",9.5,7.6,0.9,11.5
Trayce Jackson-Davis,245lb ,"6'9""",7.6,5.9,2,12
Ryan Dunn,216lb ,"6'8"" ",6.5,3.3,0.9,5.8
Amen Thompson,200lb ,"6'7""",13.7,8.1,3.4,12
