Name,Weight,Height,PPG (Points per game),RPG (Rebound per game),APG (Assists per game),PIE (Player Impact Estimate)
Kristaps Porziņģis,240lb ,"7'2"" ",19.4,7,2,13.4
Neemias Queta,248lb ,"7'0"" ",5.1,3.7,0.6,9.8
Sam Hauser,217lb ,"6'7"" ",7.7,3,1,8.3
Jrue Holiday,205lb,"6'4"" ",11,4.4,3.7,8.9
Derrick White,190lb ,"6'4"" ",16.1,4.2,4.3,10.1
D'Angelo Russel,193lb,"6'3""",13.1,2.8,5.1,10.4
Nic Claxton,215lb,"6""11""",10.1,7.5,2,11.6
Tyrese Martin,215lb,"6'6""",7.8,3.9,1.8,7.8
Cameron Johnson,210lb,"6'8""",19.1,4.2,2.9,12.5
Keon Johnson,185lb,"6'5""",9.9,3.5,1.9,6.5
Jacob Toppin,200lb,"6'8""",0.4,0.7,0.3,6.7
Josh Hart,215lb,"6'4""",14.7,9.6,5.7,12.4
Matt Ryan,215lb,"6'6""",1.4,0.4,0.1,5.1
Mikal Bridges,209lb,"6'6""",17.7,3.1,3.3,8.3
Tyler Kolek,195lb,"6'3""",1.8,0.5,0.8,8.3
Paul George,220lb,"6'8""",16.1,5.3,4.4,10.8
Kyle Lowry,196lb,"6'0""",4,2,2.8,6.8
Jared McCain,195lbs,"6'3""",15.3,2.4,2.6,10.6
Joel Embiid,280lb,"7'0""",24.9,8.5,4.5,17.9
Quentin Grimes,210lb,"6'4""",10.7,4,2.3,9.6
AJ. Lawson,179lb,"6'6""",2.8,0.8,0,14.2
Scottie Barnes,237lb,"6'7""",20.1,7.9,6.3,13.9
Jamal Shead,200lb,"6'1""",6,1.2,3.6,6.4
Ochai Agbaji,215lb,"6'5""",10.4,3.8,1.6,8
Orlando Robinson,235lb,"6'10""",3.2,2.8,1,7
