Name,Weight,Height,PPG (Points per game),RPG (Rebound per game),APG (Assists per game),PIE (Player Impact Estimate)
Lonzo Ball,190lb,"6'6""",7.2,3.4,3.5,8
Josh Giddey,216lb,"6'8""",12.2,7.1,6.4,11.3
Zach Collins,250lb,"6'11""",4.6,2.9,1.4,8.6
Julian Phillips,198lb,"6'8""",4.2,1.9,0.4,5.2
Tre Jones,185lb,"6'1""",4.7,2.1,3.5,9.8
Isaac Okoro,225lb ,"6'5"" ",5.8,2.1,1.6,5
JT Thor,203lb,"6'9""",3.1,0.7,0.1,12.4
Ty Jerome,195lb,"6'5""",11.4,2.5,3.4,13.3
Max Strus,215lb,"6'5""",8.7,4.4,3.1,7.9
Tristan Thompson,254lb,"6'9""",1.7,3,0.7,7.6
Malik Beasley,187lb,"6'4""",16.5,2.9,1.7,9.8
Dennis Schroder,175lb,"6'1""",13.9,2.6,5.4,8.9
Jaden Ivey,195lb,"6'4""",17.6,4.1,4,9.9
Paul Reed,210lb,"6'9""",4.3,2.6,1,12.7
Jalen Duren,250lb,"6'10""",10.8,10.2,2.5,13.3
Obi Toppin,220lb,"6'9""",10.3,4.1,1.5,11.8
Andrew Nembhard,191lb,"6'4""",10.5,3.3,4.9,8.6
Thomas Bryant,248lb,"6'10""",6.9,4.2,1.2,12.4
Tyrese Haliburton,185lb,"6'5""",17.8,3.6,8.5,12.9
Myles Turner,250lb,"6'11""",15.1,6.6,1.5,9.5
Bobby Portis,250lb,"6'10""",13.7,8.3,2.2,13
Taurean Prince,218lb,"6'6""",7.9,3.7,2,6.7
Stanley Umude,210lb,"6'6""",0.6,0.7,0.1,2.4
Kyle Kuzma,221lb,"6'9""",15.3,6.1,2.5,8.7
Jericho Sims,250lb,"6'10""",1.6,3.3,0.6,6.5
