Name,Weight,Height,PPG (Points per game),RPG (Rebound per game),APG (Assists per game),PIE (Player Impact Estimate)
Jonathan Kuminga,225lb,"6'7"" ",16.8,5,2.2,11.2
Buddy Hield,220lb,"6'4"" ",11.5,3.3,1.6,8
Pat Spencer,205lb,"6'3"" ",3,1.4,1.5,10.1
Gary Payton II,195lb,"6'2"" ",5.3,2.9,1.3,9.5
Moses Moody,211lb,"6'5"" ",9.2,2.3,1.1,7.6
Kawhi Leonard,225lb ,"6'7"" ",16.3,4.6,2.7,11
Norman Powell,215lb ,"6'4"" ",24.2,3.6,2.2,12.4
Nicolas Batum,230lb,"6'8""",3.3,2.9,1.3,6.3
Kris Dunn,205lb,"6'3"" ",5.9,3.4,2.9,7
Ivica Zubac,240lb ,"7'0"" ",15.2,12.6,2.5,15.3
Shake Milton,205lb,"6'5"" ",6,1.9,2.1,8.3
Luka Dončić,230lb,"6'6""",26.5,8.1,7.5,16.1
Gabe Vincent,200lb,"6'2"" ",5.7,1.2,1.5,3.5
Jordan Goodwin,220lb ,"6'5"" ",10,5.3,1.3,11.2
Dorian Finney-Smith,220lb ,"6'7""",8.8,3.9,1.5,6.5
Bradley Beal,207lb ,"6'4"" ",17.4,3.4,3.4,9.3
Bol Bol,220lb,"7'3""",6,2.7,0.4,11.3
Grayson Allen,198lb ,"6'4"" ",11,3.4,2.1,9
Vasilije Micić,188lb ,6'3,7.5,2.4,3.5,6.4
Devin Booker,206lb ,"6'6""",26.2,4,6.7,12.8
DeMar DeRozan,220lb ,"6'6""",21.9,3.9,3.7,10.9
Malik Monk,200lb ,"6'3""",18.1,3.8,5.9,10.2
Zach LaVine,200lb ,"6'5""",23.7,4.6,4.6,12
Jake LaRavia,235lb ,"6'7""",7,4.2,2.7,8.9
Mason Jones,200lb ,"6'4""",2.8,1.6,1.8,18.1
