Name,Weight,Height,PPG (Points per game),RPG (Rebound per game),APG (Assists per game),PIE (Player Impact Estimate)
Georges Niang,230lb,"6'7""",9.1,3.8,1.4,7.6
Larry Nance Jr.,245lb,"6'8""",8.5,4.3,1.6,10.6
Trae Young,164lb,"6'1""",23.7,3.2,11.5,12.4
Dyson Daniels,199lb,"6'7""",13.9,5.4,4,9.1
Kobe Bufkin,195lb,"6'4""",5.3,2.1,1.7,8.6
Josh Green,200lb,"6'5""",7.5,2.8,1.4,4.4
Grant Williams,236lb,"6'6""",10.4,5.1,2.3,7.6
Mark Williams,240lb,"7'0""",15.3,9.6,2.5,16.3
Brandon Miller,200lb,"6'7""",21,4.9,3.6,10
Grant Williams,236lb,"6'6""",10.4,5.1,2.3,7.6
Tyler Herro,195lb,"6'5""",23.9,5.5,5.5,13.7
Duncan Robinson,215lb,"6'7""",10.7,2.3,2.7,7.4
Davion Mitchell,202lb,"6'0""",6.4,1.9,4.6,5.5
Haywood Highsmith,220lb,"6'5""",6.3,3.1,1.2,5.6
Kyle Anderson,230lb,"6'9""",5.4,3.2,2.2,11.1
Franz Wagner,220 lb,"6'10""",25.1,5.6,4.9,16.4
Cole Anthony,185 lb,"6'2""",9.2,2.8,2.7,10.1
Jett Howard,215 lb,"6'6""",4.5,1.2,0.7,5.6
Jalen Suggs,205 lb,"6'5""",16.2,4,3.7,10.7
Moritz Wagner,245 lb,"6'11""",12.9,4.9,1.4,16.5
Bub Carrington,190 lb,"6'4""",9.1,4,4,6.6
Jordan Poole,194 lb,"6'4""",21.2,3.2,4.9,10.2
Malcolm Brogdon,229 lb,"6'4""",12.7,3.8,4.1,11.3
Corey Kispert,224 lb,"6'6""",11.8,3.1,1.6,7.3
Khris Middleton,222 lb,"6'7""",12.6,3.7,4.4,11.9
