Name,Weight,Height,PPG (Points per game),RPG (Rebound per game),APG (Assists per game),PIE (Player Impact Estimate)
Dwight Powell,240lb ,"6'10""",1.5,1.8,0.7,8.4
Spencer Dinwiddie,215lb ,"6'5""",10.5,2.4,3.7,9
Klay Thompson,220lb ,"6'5""",13.9,3.5,2,8.5
Danté Exum,214lb ,"6'5""",11.7,1.7,3.7,11.4
Naji Marshall,220lb ,"6'6""",11.2,3.8,2.6,9.9
Aaron Holiday,185lb,"6'0""",4.7,1.2,1.3,7.8
Cody Zeller,240lb,"6'11""",1.8,2.6,0.9,7.5
Jalen Green,186lb,"6'4""",21.2,4.3,3,10.8
Steven Adams,265lb,"6'11""",3.7,5.3,1.1,10.9
Jock Landale,255lb,"6'11""",4.1,3.3,0.9,10.9
Luke Kennard,206lb ,"6'5""",9.3,2.9,3.3,9.9
Marvin Bagley III,235lb ,"6'10""",4.7,2.8,0.4,13.9
Desmond Bane,215lb ,"6'5""",18.3,5.8,5.4,13.2
Ja Morant,174lb ,"6'2""",20.4,4.2,7.4,13.8
John Konchar,210lb ,6'5,2.6,3.6,1,8.8
Zion Williamson,284lb,"6'6""",24.2,7.4,4.7,16.1
Herbert Jones,206lb,"6'7"" ",10.3,3.9,3.3,6.2
CJ McCollum,190lb ,"6'3"" ",21.9,3.8,3.9,10
Dejounte Murray,180lb,"6'4""",17.5,6.5,7.4,11.8
Brandon Boston,188lb,"6'6""",10.7,3.2,2.2,8.5
Chris Paul,175lb,"6'0""",9,3.8,8,10.8
David Duke Jr.,204lb,"6'4""",1.7,0.7,0.7,1.5
Jeremy Sochan,230lb,"6'8""",11.3,7,2.5,10.9
Blake Wesly,185lb,"6'3""",3,0.7,1.9,8.3
Malaki Branham,180lb,"6'4""",4.1,1.1,0.8,7.5
